,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
285308,SC,BR,BRASIL,80608,RIO RUFINO,17,PSL,1060
285616,BA,BR,BRASIL,38857,SÃO GONÇALO DOS CAMPOS,13,PT,17663
285617,ZZ,BR,BRASIL,39322,NICOSIA,13,PT,9
285618,MG,BR,BRASIL,41238,BELO HORIZONTE,13,PT,26211
285630,MG,BR,BRASIL,41904,CÔNEGO MARINHO,13,PT,3152
285631,MG,BR,BRASIL,44792,ERVÁLIA,13,PT,6593
285632,SP,BR,BRASIL,61905,SÃO LOURENÇO DA SERRA,13,PT,2828
285647,SP,BR,BRASIL,64254,FRANCA,13,PT,19570
285648,SP,BR,BRASIL,64890,IBIRÁ,13,PT,1258
285649,SP,BR,BRASIL,67890,OSASCO,13,PT,31898
285650,TO,BR,BRASIL,73075,ANGICO,13,PT,920
285651,PR,BR,BRASIL,76775,MANDAGUARI,13,PT,5537
285662,SC,BR,BRASIL,83216,SÃO JOÃO BATISTA,13,PT,2090
285663,SC,BR,BRASIL,83950,CORREIA PINTO,13,PT,3433
285664,RS,BR,BRASIL,86363,BARRA DO GUARITA,13,PT,998
285665,RS,BR,BRASIL,87904,SÉRIO,13,PT,706
285666,RS,BR,BRASIL,88536,SANTO ÂNGELO,13,PT,17692
286146,DF,BR,BRASIL,97012,BRASÍLIA,17,PSL,38328
286479,TO,BR,BRASIL,92185,DIVINÓPOLIS DO TOCANTINS,13,PT,2283
286480,DF,BR,BRASIL,97012,BRASÍLIA,13,PT,14268
286481,RR,BR,BRASIL,3123,PACARAIMA,17,PSL,2841
286482,PA,BR,BRASIL,5738,RONDON DO PARÁ,17,PSL,9123
286495,RN,BR,BRASIL,16993,JANDAÍRA,17,PSL,1030
286496,RN,BR,BRASIL,17159,JOÃO DIAS,17,PSL,305
286497,PE,BR,BRASIL,25054,PARANATAMA,17,PSL,969
286498,AL,BR,BRASIL,27731,JARAMATAIA,17,PSL,462
286515,BA,BR,BRASIL,34371,CARAVELAS,17,PSL,2690
286516,BA,BR,BRASIL,35173,FIRMINO ALVES,17,PSL,836
286517,BA,BR,BRASIL,39470,UIBAÍ,17,PSL,1935
286532,MG,BR,BRASIL,43516,CONCEIÇÃO DO PARÁ,17,PSL,2491
287333,MG,BR,BRASIL,44130,CRUZEIRO DA FORTALEZA,17,PSL,1759
287334,MG,BR,BRASIL,46299,IPUIÚNA,17,PSL,3763
287335,MG,BR,BRASIL,47155,JEQUITINHONHA,17,PSL,2462
287336,MG,BR,BRASIL,52418,SÃO GOTARDO,17,PSL,11663
287353,RJ,BR,BRASIL,60011,RIO DE JANEIRO,17,PSL,31029
287354,SP,BR,BRASIL,61921,ZACARIAS,17,PSL,1132
287355,SP,BR,BRASIL,65633,ITAQUAQUECETUBA,17,PSL,47872
287356,SP,BR,BRASIL,68357,PEDERNEIRAS,17,PSL,17622
287373,RS,BR,BRASIL,88617,SANTO CRISTO,17,PSL,6038
287661,RO,BR,BRASIL,230,COLORADO DO OESTE,13,PT,2441
287662,PA,BR,BRASIL,5096,PARAGOMINAS,13,PT,19464
287663,PI,BR,BRASIL,10685,DOM INOCÊNCIO,13,PT,4696
287672,PI,BR,BRASIL,12416,JUAZEIRO DO PIAUÍ,13,PT,3179
287673,CE,BR,BRASIL,15610,SOLONÓPOLE,13,PT,8443
287910,PA,BR,BRASIL,5851,CURIONÓPOLIS,13,PT,5195
287911,PI,BR,BRASIL,10952,IPIRANGA DO PIAUÍ,13,PT,4837
287912,PI,BR,BRASIL,11010,ITAUEIRA,13,PT,4986
287913,PI,BR,BRASIL,11495,PALMEIRAIS,13,PT,7351
288242,MT,BR,BRASIL,98957,TERRA NOVA DO NORTE,17,PSL,3498
288527,ZZ,BR,BRASIL,29572,COCHABAMBA,13,PT,23
288528,BA,BR,BRASIL,30791,BURITIRAMA,13,PT,8175
288529,BA,BR,BRASIL,33715,BIRITINGA,13,PT,8405
288530,BA,BR,BRASIL,33936,BUERAREMA,13,PT,3803
288531,BA,BR,BRASIL,36552,JAGUARARI,13,PT,12539
288532,BA,BR,BRASIL,37052,MALHADA,13,PT,6556
288533,ZZ,BR,BRASIL,39241,ASTANA,13,PT,0
288534,MG,BR,BRASIL,41033,BANDEIRA,13,PT,1988
288535,MG,BR,BRASIL,41726,BERIZAL,13,PT,1768
288536,MG,BR,BRASIL,41777,BRAZÓPOLIS,13,PT,2508
288551,MG,BR,BRASIL,49310,PAIVA,13,PT,673
288552,ES,BR,BRASIL,56472,GUARAPARI,13,PT,17993
288553,RJ,BR,BRASIL,58289,SÃO FRANCISCO DE ITABAPOANA,13,PT,6269
288554,RJ,BR,BRASIL,58696,NOVA IGUAÇU,13,PT,23049
288568,SP,BR,BRASIL,64238,FLORÍNEA,13,PT,714
288569,PR,BR,BRASIL,75132,COLOMBO,13,PT,17145
288570,PR,BR,BRASIL,75434,DOUTOR CAMARGO,13,PT,1118
288580,SC,BR,BRASIL,80578,CAÇADOR,13,PT,12277
288581,SC,BR,BRASIL,83674,TUBARÃO,13,PT,3146
288582,RS,BR,BRASIL,84840,TUNAS,13,PT,1652
288583,RS,BR,BRASIL,86290,DOM PEDRITO,13,PT,9557
288856,PB,BR,BRASIL,19887,VIEIRÓPOLIS,13,PT,3039
288857,PE,BR,BRASIL,23329,SANTA FILOMENA,13,PT,6970
289172,MA,BR,BRASIL,7889,MARACAÇUMÉ,13,PT,7034
289173,PI,BR,BRASIL,10570,CORRENTE,13,PT,10628
289189,RN,BR,BRASIL,18015,POÇO BRANCO,13,PT,6548
289190,PB,BR,BRASIL,19801,CATURITÉ,13,PT,2792
289191,PE,BR,BRASIL,25739,SÃO LOURENÇO DA MATA,13,PT,36244
289192,ZZ,BR,BRASIL,29858,KIEV,13,PT,7
289443,GO,BR,BRASIL,93831,GUARANI DE GOIÁS,13,PT,1676
289444,ZZ,BR,BRASIL,99155,PUERTO IGUAZÚ,13,PT,0
289445,PA,BR,BRASIL,4138,ANAJÁS,17,PSL,4300
289446,PA,BR,BRASIL,4278,BELÉM,17,PSL,46212
289455,CE,BR,BRASIL,13200,ERERÊ,17,PSL,506
289456,PE,BR,BRASIL,23230,ARCOVERDE,17,PSL,9623
289457,PE,BR,BRASIL,23574,CABO DE SANTO AGOSTINHO,17,PSL,14619
289475,ZZ,BR,BRASIL,30090,MAPUTO,17,PSL,179
289476,MG,BR,BRASIL,40959,AUGUSTO DE LIMA,17,PSL,1053
289717,AL,BR,BRASIL,28193,OLIVENÇA,13,PT,5134
289718,AL,BR,BRASIL,28436,POÇO DAS TRINCHEIRAS,13,PT,6226
289719,BA,BR,BRASIL,34436,CASA NOVA,13,PT,32131
289720,BA,BR,BRASIL,35157,FEIRA DE SANTANA,13,PT,50246
289721,BA,BR,BRASIL,37532,NILO PEÇANHA,13,PT,4765
289722,BA,BR,BRASIL,38806,SÃO DOMINGOS,13,PT,4013
289723,MG,BR,BRASIL,40444,MATIAS CARDOSO,13,PT,3074
289724,MG,BR,BRASIL,42510,CAPINÓPOLIS,13,PT,4143
289735,MG,BR,BRASIL,47155,JEQUITINHONHA,13,PT,7581
289736,MG,BR,BRASIL,48771,MURIAÉ,13,PT,21306
